genre, sub-genre
Alternative, Alternative Indie
Alternative, Alternative Rock
Alternative, Folk
Alternative, Grunge
Alternative, Lo-fi
Alternative, Progressive
Alternative, New Wave
Blues, Chicago Blues
Blues, Classical
Blues, Contemporary
Blues, Country
Blues, Delta
Blues, Funk
Blues, Ragtime
Classical, Avant-Garde
Classical, Contemporary
Classical, Orchestral
Classical, Opera
Classical, Broadway
Country, Americana
Country, Bluegrass
Country, Traditional
Dance, Breakcore
Dance, Breakstep
Dance, Brostep
Dance, Chillstep
Dance, Cinematic Dubstep
Dance, Club
Dance, Dancehall
Dance, Deep House
Dance, Disco
Dance, Doomcore
Dance, Drumstep
Dance, Dubstep
Dance, EDM
Dance, Electro House
Dance, Electro Swing
Dance, Electro Pop
Dance, EuroDance
Dance, Exercise
Dance, Futurestep
Dance, Garage
Dance, Glitch Hop
Dance, Glitch Pop
Dance, Grime
Dance, Hard Dance
Dance, House
Dance, Liquid Dubstep
Dance, Melodic Dubstep
Dance, Progressive House
Dance, Reggae Step
Dance, Techno
Dance, Trance
Dance, Trap
Easy Listening, Bop
Easy Listening, Loung
Easy Listening, New Age
Easy Listening, Swing
Electronic, 2 Step
Electronic, 8bit
Electronic, Ambient
Electronic, Bassline House
Electronic, C h i l l  Lounge
Electronic, C h i l l w a v e
Electronic, Chiptune
Electronic, Crunk
Electronic, Downtempo
Electronic, Drum & Bass
Electronic, Electro
Electronic, Electronica
Electronic, Electronic Rock
Electronic, Hardstyle
Electronic, IDM / Experimental
Electronic, Industrial
Electronic, Noise
Electronic, Salsa
Electronic, S p a c e w a v e
Electronic, Trip-Hop
Electronic, Trance
Electronic, V a p o r w a v e
Electronic, W a v e
Hip-Hop/Rap, Alternative Rap
Hip-Hop/Rap, Bounce
Hip-Hop/Rap, Chicago Rap
Hip-Hop/Rap, College Rap
Hip-Hop/Rap, Dirty South
Hip-Hop/Rap, East Coast Rap
Hip-Hop/Rap, Experimental Rap
Hip-Hop/Rap, Gangster Rap
Hip-Hop/Rap, Hardcore Rap
Hip-Hop/Rap, Hip-Hop
Hip-Hop/Rap, Hipster Rap
Hip-Hop/Rap, Jazz Rap
Hip-Hop/Rap, Latin Rap
Hip-Hop/Rap, Old School Rap
Hip-Hop/Rap, Rap
Hip-Hop/Rap, Swag
Hip-Hop/Rap, Turntablism
Hip-Hop/Rap, Underground Rap
Hip-Hop/Rap, West Coast
Holiday, Christmas
Holiday, Halloween
Holiday, Thanksgiving
Instrumental, Ambient
Instrumental, New Age
Instrumental, Elevator
Instrumental, Fitness Workout
Instrumental, TV Themes
Instrumental, Soundtrack
Jazz, Acid
Jazz, Avant-Garde
Jazz, Bebop
Jazz, Big Band
Jazz, Blue Note
Jazz, Contemporary
Jazz, Cool
Jazz, Crossover
Jazz, Dixieland
Jazz, Fusion
Jazz, Gypsy
Jazz, Latin
Jazz, Mainstream
Jazz, Ragtime
Jazz, Smooth
Pop, Contemporary
Pop, Bubblegum
Pop, Dance Pop
Pop, Electro Pop
Pop, Indie Pop
Pop, Pop Rock
Pop, Soft Rock
Pop, Synth Pop
Pop, Teen Pop
Reggae, 2-Tone
Reggae, Dancehall
Reggae, Dub
Reggae, Roots
Reggae, Ska
Rock, Acid Rock
Rock, Afro-Punk
Rock, Adult Alternative
Rock, Alternative Rock
Rock, Arena Rock
Rock, Classic Rock
Rock, Death Metal
Rock, Doom Metal
Rock, Emo
Rock, Gothic Metal
Rock, Grunge
Rock, Hard Rock
Rock, Melodic Rock
Rock, Metal
Rock, Metalcore
Rock, Noise Rock
Rock, Pop Rock
Rock, Progressive Rock
Rock, Psychedelic Rock
Rock, Punk Rock
Rock, Rock & Roll
Rock, Rockability
Rock, Roots Rock
Rock, Steampunk
Rock, Trash Metal
R&B/Soul, Contemporary
R&B/Soul, Disco
R&B/Soul, Funk
R&B/Soul, Modern Soul
R&B/Soul, Motown
R&B/Soul, Neo-Soul
R&B/Soul, Psychedelic Soul
R&B/Soul, Soul
R&B/Soul, Soul Blues
R&B/Soul, Trap Soul
Singer/Songwriter, Alternative Funk
Singer/Songwriter, Contemporary Funk
Singer/Songwriter, Indie Folk
Singer/Songwriter, Folk-Rock
Singer/Songwriter, Love Song
Singer/Songwriter, New Acoustic
Singer/Songwriter, Traditional Folk
Vocal, A cappella
Vocal, Barbershop
Vocal, Doo-wop
Vocal, Spoken Word
Vocal, Traditional Pop
Vocal, Vocal Jazz
Vocal, Vocal Pop
Vocal, Worship
World, Afrikaan
World, Afro-Beat
World, Asia
World, Cajun
World, Celtic
World, French Pop
World, German Folk
World, German Pop
World, Hawaii
World, Indian Pop
World, Japanese Pop
World, Korean Pop
World, Tropical
